Date, Close/Last, Volume, Open, High, Low
10/13/2020, $146.23, 7933449, $144.68, $146.605, $144.36
10/12/2020, $144.25, 6134149, $143.02, $145.39, $143.02
10/09/2020, $142.78, 4831602, $141.66, $143.34, $141.56
10/08/2020, $141.36, 4892290, $141.51, $142.09, $141.12
10/07/2020, $140.89, 5649732, $141.26, $141.55, $140.25
10/06/2020, $140.63, 7158481, $141.87, $142.9399, $140.25
10/05/2020, $141.8, 4753039, $141.29, $142.1899, $141.065
10/02/2020, $140.5, 8194974, $142.34, $143.1, $140.1297
10/01/2020, $143.08, 14430330, $140.8, $144.3799, $140.26
09/30/2020, $139.91, 11608820, $137.39, $141.74, $137.2014
09/29/2020, $137.14, 9240908, $137.25, $138.14, $136.39
09/28/2020, $137.25, 7065659, $137.16, $138.05, $136.72
09/25/2020, $137.27, 7539596, $136.52, $137.535, $135.96
09/24/2020, $136.7, 9817694, $135.73, $137.795, $135.07
09/23/2020, $135.99, 7711108, $139, $139.24, $135.8193
09/22/2020, $138.31, 11034020, $137.07, $138.99, $136.57
09/21/2020, $137.07, 15758500, $136.5, $137.24, $135.29
09/18/2020, $135.29, 18236350, $136.44, $137.53, $134.75
09/17/2020, $136.69, 12415030, $135.43, $137.57, $135.02
09/16/2020, $136.26, 9292649, $138.41, $138.6825, $136.05
09/15/2020, $137.36, 10142620, $138.23, $139.0799, $136.68
09/14/2020, $137.32, 15244650, $136.14, $141.1, $135.88
09/11/2020, $136.7, 9626577, $137.05, $138.44, $135.55
09/10/2020, $136.81, 11236420, $140.06, $140.535, $136.5857
09/09/2020, $139.89, 11223030, $140.09, $142.61, $139.45
09/08/2020, $138.45, 11322250, $141.41, $141.9, $138.26
09/04/2020, $142.83, 11327360, $144.02, $145.0382, $140.1
09/03/2020, $144.54, 16005000, $146.7, $149.6, $141.81
09/02/2020, $147.68, 17221990, $151.25, $151.33, $145.61
09/01/2020, $147.59, 35708210, $141.2, $149.59, $140.05
08/31/2020, $138.85, 15078780, $137.48, $138.89, $135.53
08/28/2020, $140.3, 21350310, $141, $141.07, $137.84
08/27/2020, $136.63, 39672910, $131.08, $139.35, $130.9
08/26/2020, $130.7, 6271556, $130.21, $130.88, $129.7
08/25/2020, $130.63, 7240819, $130.8, $131.2367, $129.67
08/24/2020, $131.33, 6604550, $132.25, $132.48, $130.33
08/21/2020, $131.63, 8287994, $130.55, $132.67, $130.1
08/20/2020, $130.57, 8936882, $131.21, $132.07, $130.05
08/19/2020, $132.41, 12718400, $134.21, $134.66, $131.855
08/18/2020, $134.71, 26744180, $136.17, $137.6323, $133.17
08/17/2020, $135.6, 13155000, $134.35, $136.13, $133.85
08/14/2020, $132.6, 6702087, $132.34, $132.97, $131.63
08/13/2020, $131.85, 6622444, $131.21, $131.96, $130.73
08/12/2020, $131.89, 6372112, $130.47, $132.23, $129.08
08/11/2020, $130.2, 8453355, $132.59, $132.87, $129.7303
