Date, Close/Last, Volume, Open, High, Low
10/21/2020, 132.3, 932884, 132.31, 133.2586, 132.18
10/20/2020, 132.56, 1194673, 132.89, 133.86, 132.245
10/19/2020, 132.06, 926573, 134.37, 134.77, 131.79
10/16/2020, 134.18, 920067, 134.05, 135.02, 133.9
10/15/2020, 133.59, 926810, 132.21, 133.77, 132.0004
10/14/2020, 133.48, 972751, 134.18, 134.67, 133.13
10/13/2020, 134.06, 997653, 134.19, 134.55, 133.69
10/12/2020, 134.53, 1059960, 134, 135.13, 133.8574
10/09/2020, 133.37, 1070368, 132.93, 133.73, 132.74
10/08/2020, 132.19, 947705, 131.93, 132.2, 131.5
10/07/2020, 131.22, 907076, 130.18, 131.54, 130.18
10/06/2020, 129.14, 1509849, 130.72, 131.57, 128.93
10/05/2020, 130.46, 888202, 129.4, 130.57, 129.38
10/02/2020, 128.55, 1352820, 127.69, 129.375, 127.41
10/01/2020, 129.16, 1331739, 129.54, 130.03, 128.548
09/30/2020, 128.66, 1025190, 128.03, 129.83, 127.8674
09/29/2020, 127.7, 1136880, 128.39, 128.665, 127.409
09/28/2020, 128.83, 1332870, 128.55, 129.38, 128.3
09/25/2020, 127.14, 1222020, 125.12, 127.44, 124.87
09/24/2020, 125.57, 1130836, 125.11, 126.75, 124.5
09/23/2020, 125.46, 1345586, 127.99, 128.23, 125.31
09/22/2020, 127.5, 1240739, 126.69, 127.72, 126.1879
09/21/2020, 126.51, 1601985, 126.8, 126.99, 124.8705
09/18/2020, 128.33, 1914911, 129.52, 129.55, 127.51
09/17/2020, 129.31, 1142655, 128.62, 129.99, 128.19
09/16/2020, 130.13, 877413, 130.87, 131.48, 130.02
09/15/2020, 130.23, 1339231, 130.41, 130.91, 130.01
09/14/2020, 129.62, 964421, 129.06, 130.11, 129.06
09/11/2020, 128.05, 1211157, 128.07, 128.83, 127.11
09/10/2020, 127.37, 1011043, 129.63, 129.93, 126.96
09/09/2020, 129.24, 1021582, 128.14, 130.38, 128.07
09/08/2020, 126.89, 1391966, 127.97, 128.11, 126.57
09/04/2020, 129.1, 1538235, 130.63, 130.88, 127.245
09/03/2020, 130, 1434501, 133.72, 133.9, 129.12
09/02/2020, 133.84, 1225630, 132.09, 134.24, 131.798
09/01/2020, 131.54, 1428290, 130.59, 131.57, 130.275
08/31/2020, 130.59, 1231807, 131.36, 131.43, 130.59
08/28/2020, 131.67, 961468, 131.2, 131.72, 130.51
08/27/2020, 130.66, 1053586, 130.26, 131.2122, 130.1688
08/26/2020, 129.71, 862215, 129.2, 129.95, 128.74
08/25/2020, 129.19, 818044, 129.56, 129.6, 128.72
08/24/2020, 129.1, 1067644, 128.59, 129.13, 128.372
08/21/2020, 127.96, 889746, 127.56, 128.1, 127.28
08/20/2020, 127.68, 726782, 127.19, 127.825, 127.02
08/19/2020, 127.89, 922294, 128.58, 128.6101, 127.69
08/18/2020, 128.34, 730412, 128.69, 128.85, 127.921
08/17/2020, 128.41, 825287, 128.35, 128.79, 128.2123
08/14/2020, 127.99, 627056, 127.71, 128.3383, 127.53
08/13/2020, 127.96, 775373, 127.81, 128.22, 127.5229
08/12/2020, 128.17, 770057, 127.52, 128.65, 127.49
08/11/2020, 126.68, 1054546, 127.71, 128.13, 126.37
08/10/2020, 126.94, 848163, 126.43, 127.04, 126.31
08/07/2020, 126.31, 739979, 125.36, 126.34, 125.35
08/06/2020, 125.56, 841592, 125, 125.56, 124.7
08/05/2020, 125.15, 881301, 124.85, 125.31, 124.731
08/04/2020, 124.31, 915347, 123.45, 124.31, 123.31
08/03/2020, 123.73, 1484078, 123.46, 123.94, 123.208
07/31/2020, 123.01, 1140966, 123.2, 123.2, 121.3
07/30/2020, 123.45, 1078025, 123.01, 123.71, 122.12
07/29/2020, 123.93, 1061630, 122.87, 124.22, 122.87
07/28/2020, 122.74, 938441, 123.08, 123.57, 122.66
07/27/2020, 123.29, 817815, 122.97, 123.356, 122.57
07/24/2020, 122.9, 1021592, 123.18, 123.43, 122.4131
07/23/2020, 123.41, 1299124, 124.09, 124.62, 122.94
07/22/2020, 124.1, 1175557, 122.94, 124.28, 122.94
07/21/2020, 123, 1270975, 123, 123.69, 122.74
07/20/2020, 122.37, 1219760, 122.46, 122.66, 121.8
07/17/2020, 122.66, 1173615, 122.49, 122.87, 121.97
07/16/2020, 121.91, 1209282, 121.46, 122.13, 121.24
07/15/2020, 121.96, 1759497, 121.99, 122.47, 121.37
07/14/2020, 120.75, 1586227, 118.41, 120.94, 118.29
07/13/2020, 118.75, 1701603, 119.8, 121.02, 118.59
07/10/2020, 119.2, 990178, 118.05, 119.27, 117.52
07/09/2020, 118.13, 1170835, 118.93, 119.05, 116.91
07/08/2020, 118.89, 1214195, 118.74, 119.14, 117.97
07/07/2020, 118.48, 990037, 118.41, 119.3, 118.3
07/06/2020, 119.13, 2954995, 119.24, 119.47, 118.59
07/02/2020, 117.85, 1461091, 118.68, 119.1232, 117.5661
07/01/2020, 117.2, 1439096, 117.31, 117.76, 116.765
06/30/2020, 117.18, 1122377, 115.6, 117.527, 115.45
06/29/2020, 115.6, 2213334, 114.52, 115.6, 113.78
06/26/2020, 114.51, 1234340, 116.06, 116.4, 114.1733
06/25/2020, 116.4, 1296968, 115.17, 116.55, 114.3019
06/24/2020, 115.48, 1484312, 117.5, 117.59, 114.74
06/23/2020, 118.25, 1263301, 118.84, 119.17, 118.1383
06/22/2020, 117.77, 1092732, 116.9, 117.98, 116.37
06/19/2020, 117.24, 1204786, 119.38, 119.53, 116.94
06/18/2020, 118.02, 951581, 117.59, 118.2499, 117.28
06/17/2020, 118.1, 909448, 118.84, 119.1999, 117.91
06/16/2020, 118.47, 1358599, 119.47, 119.67, 116.82
06/15/2020, 116.37, 1507197, 113.36, 116.8832, 112.91
06/12/2020, 115.59, 1448959, 117.52, 117.61, 113.6106
06/11/2020, 114.82, 2195177, 118.65, 119.04, 114.49
06/10/2020, 121.2, 1286563, 121.99, 122.36, 120.91
06/09/2020, 121.83, 1492848, 122.5, 122.5561, 121.71
06/08/2020, 123.37, 1298571, 122.66, 123.37, 122.125
06/05/2020, 122.24, 1493549, 121.99, 123.1292, 121.59
06/04/2020, 119.63, 1094785, 119.9, 120.359, 118.85
06/03/2020, 120.41, 1294205, 119.61, 120.68, 119.539
06/02/2020, 118.78, 1368146, 118.08, 118.81, 117.7203
06/01/2020, 117.75, 1367847, 117.5, 118.03, 117.13
05/29/2020, 117.69, 1043640, 117.13, 117.9, 115.94
05/28/2020, 117.25, 1223904, 117.87, 118.5, 116.9868
05/27/2020, 116.92, 1218806, 116.45, 116.95, 114.99
05/26/2020, 115.16, 1385414, 116.18, 116.18, 114.9507
05/22/2020, 113.67, 1004087, 113.55, 113.716, 112.98
05/21/2020, 113.49, 1161665, 113.95, 114.32, 113.03
05/20/2020, 114.09, 1433503, 114.06, 114.6, 113.7601
05/19/2020, 112.75, 1640388, 114.24, 114.47, 112.725
05/18/2020, 114.51, 1387622, 113.66, 115.12, 113.66
05/15/2020, 110.9, 1272096, 109.41, 110.97, 108.89
05/14/2020, 110.28, 1857246, 108.53, 110.28, 107.08
05/13/2020, 109.6, 1625348, 111.31, 111.55, 108.7013
05/12/2020, 111.59, 1152196, 114.14, 114.2598, 111.56
05/11/2020, 113.7, 1998902, 113.02, 114.354, 112.73
