Date, Close/Last, Volume, Open, High, Low
10/15/2020, 290.1, 42514180, 287.25, 290.71, 286.54
10/14/2020, 292.06, 37181230, 295.32, 296.35, 290.26
10/13/2020, 294.52, 64240030, 296.34, 297.0496, 293.11
10/12/2020, 294.53, 79370660, 290.6, 297.46, 289.47
10/09/2020, 285.71, 30201140, 283.09, 285.79, 282.71
10/08/2020, 281.41, 25443290, 282.32, 282.47, 280.31
10/07/2020, 279.92, 27539660, 277.83, 280.74, 277.28
10/06/2020, 275.16, 49704240, 279.29, 281.19, 274.25
10/05/2020, 280.16, 28184580, 276.34, 280.49, 276.23
10/02/2020, 274.31, 75497390, 276.01, 282.2412, 273.44
10/01/2020, 282.25, 50020220, 281.79, 282.8794, 279.84
09/30/2020, 277.84, 49380800, 276.09, 281.09, 275.8717
09/29/2020, 275.95, 27178920, 276.72, 277.71, 275.3719
09/28/2020, 277.2, 58438290, 276.615, 277.2, 271.674
09/25/2020, 271.56, 55242380, 265.82, 272.395, 264.2999
09/24/2020, 265.39, 70631700, 261.58, 268.7, 261.22
09/23/2020, 264.16, 48837270, 272.15, 272.34, 263.2502
09/22/2020, 272.48, 41128890, 270.05, 273.08, 266.54
09/21/2020, 267.51, 57168570, 262.52, 267.65, 260.11
09/18/2020, 266.87, 86251120, 271.62, 272.09, 262.63
09/17/2020, 270.32, 81570840, 267.52, 274.3955, 266.68
09/16/2020, 274.61, 42435630, 279.77, 280.36, 274.25
09/15/2020, 279.06, 41849930, 278.9, 280.45, 275.1332
09/14/2020, 275.16, 38525190, 274.28, 277.22, 272.96
09/11/2020, 270.45, 71809010, 274.33, 275.22, 266.9
09/10/2020, 272.34, 69667460, 280.97, 282.195, 270.56
09/09/2020, 277.88, 64837870, 275.54, 280.045, 273
09/08/2020, 269.95, 99568650, 272.27, 278.22, 269.66
09/04/2020, 283.58, 123959000, 285.76, 288.93, 271.8
09/03/2020, 287.41, 110083300, 298.2, 298.62, 284.41
09/02/2020, 302.76, 50836770, 303.26, 303.5, 296.89
09/01/2020, 299.92, 36395770, 297.6, 300.04, 295.79
08/31/2020, 294.88, 36321030, 293.16, 296.745, 292.62
08/28/2020, 292.53, 28021020, 292.27, 293.18, 290.93
08/27/2020, 291.05, 49482720, 293.08, 293.851, 288.705
08/26/2020, 291.96, 42216690, 287.11, 292.22, 285.829
08/25/2020, 285.86, 34866590, 282.78, 286.06, 282.37
08/24/2020, 283.63, 36418530, 285.06, 286, 281.27
08/21/2020, 281.87, 34748930, 280.07, 282.34, 279.461
08/20/2020, 279.93, 27723380, 275.3, 280.43, 274.86
08/19/2020, 276.1, 31999360, 277.93, 279.02, 275.57
08/18/2020, 277.97, 23529500, 276.41, 278.465, 274.91
08/17/2020, 275.32, 24802970, 273.91, 275.84, 272.1978
08/14/2020, 272.16, 30799490, 273.01, 273.4, 270.72
08/13/2020, 272.48, 31895720, 272.64, 274.83, 271.51
08/12/2020, 271.86, 38894270, 267.37, 272.84, 267.37
08/11/2020, 265.19, 43104320, 269.1, 270.44, 264.63
08/10/2020, 270.31, 35088370, 271.74, 271.98, 266.67
