Date, Close/Last, Volume, Open, High, Low
09/04/2020, 35.71, 27545, 35.83, 36.07, 35.23
09/03/2020, 35.68, 70592, 36.38, 36.5992, 35.4891
09/02/2020, 36.3766, 60795, 35.7, 36.41, 35.7
09/01/2020, 35.59, 291522, 35.44, 35.59, 35.1485
08/31/2020, 35.43, 13936, 35.54, 35.5846, 35.385
08/28/2020, 35.6857, 17454, 35.43, 35.7039, 35.37
08/27/2020, 35.472, 8903, 35.26, 35.5803, 35.26
08/26/2020, 35.2916, 7072, 35.3, 35.3999, 35.12
08/25/2020, 35.33, 17756, 35.74, 35.74, 35.2301
08/24/2020, 35.5158, 14350, 35.14, 35.5158, 34.95
08/21/2020, 34.99, 13694, 34.95, 34.99, 34.79
08/20/2020, 34.96, 8559, 34.96, 34.9999, 34.79
08/19/2020, 35.1093, 12120, 35.19, 35.3754, 35.1093
08/18/2020, 35.2501, 11268, 35.4, 35.44, 35.214
08/17/2020, 35.31, 22445, 35.64, 35.64, 35.26
08/14/2020, 35.54, 10470, 35.14, 35.61, 35.14
08/13/2020, 35.4272, 7308, 35.415, 35.5919, 35.37
08/12/2020, 35.71, 25673, 35.8, 35.947, 35.585
08/11/2020, 35.5, 39463, 35.94, 36.2, 35.475
08/10/2020, 35.5801, 19061, 34.98, 35.63, 34.98
08/07/2020, 35, 8422, 34.61, 35, 34.531
08/06/2020, 34.7061, 4076, 34.55, 34.75, 34.55
08/05/2020, 34.62, 21188, 34.51, 34.7302, 34.51
08/04/2020, 34.32, 11129, 33.99, 34.321, 33.99
08/03/2020, 34.12, 60769, 34.11, 34.14, 33.965
07/31/2020, 33.9459, 17627, 34.05, 34.05, 33.57
07/30/2020, 34.1, 33772, 34.5, 34.5, 33.891
07/29/2020, 34.746, 6029, 34.57, 34.746, 34.5
07/28/2020, 34.57, 10130, 34.76, 34.76, 34.54
07/27/2020, 34.77, 8216, 34.6, 34.77, 34.5
07/24/2020, 34.61, 10880, 34.71, 34.84, 34.5001
07/23/2020, 34.8474, 6977, 35, 35.06, 34.765
07/22/2020, 35.08, 9803, 34.74, 35.13, 34.74
07/21/2020, 34.9, 37508, 34.93, 35.06, 34.6
07/20/2020, 34.45, 670558, 34.64, 34.64, 34.28
07/17/2020, 34.8, 7554, 34.87, 34.8775, 34.62
